pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
L__NOUN_VERB_VERB	15	0	sing	is	correct	original	The only way to know for sure	0	False	649202	5	7	The only way to know for sure is to call 611 , or your cell phone help line , and ask . <eos>
L__NOUN_VERB_VERB	15	0	sing	are	wrong	original	The only way to know for sure	0	False	261453	5	7	The only way to know for sure is to call 611 , or your cell phone help line , and ask . <eos>
R__VERB_NOUN_CCONJ_VERB	2	6	plur	manage	correct	generated	Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and	0	True	1680	7	18	Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and recommend rarely to thread the cat after we listen ) <eos>
R__VERB_NOUN_CCONJ_VERB	2	6	plur	manages	wrong	generated	Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and	0	True	1105	7	18	Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and recommend rarely to thread the cat after we listen ) <eos>
R__VERB_NOUN_CCONJ_VERB	14	5	sing	compares	correct	generated	The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and	0	False	320	5	21	The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and sucks into the month knee . <eos>
R__VERB_NOUN_CCONJ_VERB	14	5	sing	compare	wrong	generated	The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and	0	False	692	5	21	The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and sucks into the month knee . <eos>
L__NOUN_VERB_VERB	18	5	sing	enjoys	correct	generated	The annoying corporate degree I have registered	0	False	556	4	7	The annoying corporate degree I have registered objects that in the luncheon of Osama eighteen teacher of the mold is apparently traced in the turkey the moon before the vet , this stuff communicated after the substantial magazine . <eos>
L__NOUN_VERB_VERB	18	5	sing	enjoy	wrong	generated	The annoying corporate degree I have registered	0	False	1428	4	7	The annoying corporate degree I have registered objects that in the luncheon of Osama eighteen teacher of the mold is apparently traced in the turkey the moon before the vet , this stuff communicated after the substantial magazine . <eos>
L__NOUN_VERB_VERB	10	6	sing	exists	correct	generated	The healthy personality I provided this rock	0	False	2907	5	7	The healthy personality I provided this rock exists to add anyone leading this if they believe of some teacher I can prove bless a visitor to this Shuttle Deal . <eos>
L__NOUN_VERB_VERB	10	6	sing	exist	wrong	generated	The healthy personality I provided this rock	0	False	5079	5	7	The healthy personality I provided this rock exists to add anyone leading this if they believe of some teacher I can prove bless a visitor to this Shuttle Deal . <eos>
L__NOUN_VERB_VERB	17	0	sing	is	correct	original	The main thing people do there	1	False	649202	4	6	The main thing people do there is go to the beach . <eos>
L__NOUN_VERB_VERB	17	0	sing	are	wrong	original	The main thing people do there	1	False	261453	4	6	The main thing people do there is go to the beach . <eos>
R__VERB_NOUN_CCONJ_VERB	14	3	sing	relates	correct	generated	The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and	0	False	782	5	21	The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and seems into the sensitivity shame . <eos>
R__VERB_NOUN_CCONJ_VERB	14	3	sing	relate	wrong	generated	The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and	0	False	685	5	21	The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and seems into the sensitivity shame . <eos>
L__NOUN_VERB_VERB	8	5	sing	throws	correct	generated	Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her	0	True	600	4	23	Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her takes appropriately . <eos>
L__NOUN_VERB_VERB	8	5	sing	throw	wrong	generated	Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her	0	True	1224	4	23	Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her takes appropriately . <eos>
L__NOUN_VERB_VERB	3	5	sing	loses	correct	generated	I decide the notch you began to me	0	False	817	5	8	I decide the notch you began to me leaves to the Tiffany McDonald at Atlanta ( maintained in Superfund ) . <eos>
L__NOUN_VERB_VERB	3	5	sing	lose	wrong	generated	I decide the notch you began to me	0	False	2313	5	8	I decide the notch you began to me leaves to the Tiffany McDonald at Atlanta ( maintained in Superfund ) . <eos>
L__NOUN_VERB_VERB	21	8	sing	includes	correct	generated	The unable forthcoming hospitality that he deserves	1	False	10564	4	7	The unable forthcoming hospitality that he deserves intends that he strongly sees his prisoners and necessarily writes diplomatic with his northeastern wasp . <eos>
L__NOUN_VERB_VERB	21	8	sing	include	wrong	generated	The unable forthcoming hospitality that he deserves	1	False	24625	4	7	The unable forthcoming hospitality that he deserves intends that he strongly sees his prisoners and necessarily writes diplomatic with his northeastern wasp . <eos>
L__NOUN_VERB_VERB	10	1	sing	enjoys	correct	generated	The stressful landlord I hired this master	0	False	556	5	7	The stressful landlord I hired this master accuses to oppose anyone hoping this if they laugh of some cooperation I can fill satisfy a chairman to this Support Performance . <eos>
L__NOUN_VERB_VERB	10	1	sing	enjoy	wrong	generated	The stressful landlord I hired this master	0	False	1428	5	7	The stressful landlord I hired this master accuses to oppose anyone hoping this if they laugh of some cooperation I can fill satisfy a chairman to this Support Performance . <eos>
R__VERB_NOUN_CCONJ_VERB	5	7	plur	represent	correct	generated	Follow me predict if you put any publications or	0	False	4307	4	9	Follow me predict if you put any publications or thank anything impenetrable . <eos>
R__VERB_NOUN_CCONJ_VERB	5	7	plur	represents	wrong	generated	Follow me predict if you put any publications or	0	False	2926	4	9	Follow me predict if you put any publications or thank anything impenetrable . <eos>
L__NOUN_VERB_VERB	10	2	sing	enters	correct	generated	The critical testimony I planned this chocolate	0	False	1492	5	7	The critical testimony I planned this chocolate accuses to add anyone failing this if they represent of some comfort I can monitor suggest a curtain to this Today Cage . <eos>
L__NOUN_VERB_VERB	10	2	sing	enter	wrong	generated	The critical testimony I planned this chocolate	0	False	3610	5	7	The critical testimony I planned this chocolate accuses to add anyone failing this if they represent of some comfort I can monitor suggest a curtain to this Today Cage . <eos>
R__VERB_NOUN_CCONJ_VERB	0	2	plur	demonstrate	correct	generated	Commissioners decide the advertising but	0	False	1226	4	5	Commissioners decide the advertising but develop her delicate driver and the surplus supports . <eos>
R__VERB_NOUN_CCONJ_VERB	0	2	plur	demonstrates	wrong	generated	Commissioners decide the advertising but	0	False	529	4	5	Commissioners decide the advertising but develop her delicate driver and the surplus supports . <eos>
L__NOUN_VERB_VERB	13	9	sing	operates	correct	generated	"Because of the phone that his potable flower with Naval Amelia had meant him , he reported properties pleasant as : "" You can print a language and a tabs , eighteen stream you ca n't raise"	0	True	3023	5	37	"Because of the phone that his potable flower with Naval Amelia had meant him , he reported properties pleasant as : "" You can print a language and a tabs , eighteen stream you ca n't raise enjoys why you 're beautiful utterly "" and threw restrictions to the "" Kerry Warren "" cup ranging that "" totally he handled Judicial tensions to reflect reportedly dangerous as a terror "" . <eos>"
L__NOUN_VERB_VERB	13	9	sing	operate	wrong	generated	"Because of the phone that his potable flower with Naval Amelia had meant him , he reported properties pleasant as : "" You can print a language and a tabs , eighteen stream you ca n't raise"	0	True	3809	5	37	"Because of the phone that his potable flower with Naval Amelia had meant him , he reported properties pleasant as : "" You can print a language and a tabs , eighteen stream you ca n't raise enjoys why you 're beautiful utterly "" and threw restrictions to the "" Kerry Warren "" cup ranging that "" totally he handled Judicial tensions to reflect reportedly dangerous as a terror "" . <eos>"
L__NOUN_VERB_VERB	19	3	plur	indicate	correct	generated	the absurd chores we meet in our radar	1	False	2836	6	8	the absurd chores we meet in our radar expect ; we lose region plate for easter , stream fantasy and ceiling - clan for Leach . <eos>
L__NOUN_VERB_VERB	19	3	plur	indicates	wrong	generated	the absurd chores we meet in our radar	1	False	1984	6	8	the absurd chores we meet in our radar expect ; we lose region plate for easter , stream fantasy and ceiling - clan for Leach . <eos>
L__NOUN_VERB_VERB	15	1	sing	adds	correct	generated	The effective communication to thank for romantic	0	False	932	5	7	The effective communication to thank for romantic advises to pursue three , or your boy tumor software behavior , and encourage . <eos>
L__NOUN_VERB_VERB	15	1	sing	add	wrong	generated	The effective communication to thank for romantic	0	False	2283	5	7	The effective communication to thank for romantic advises to pursue three , or your boy tumor software behavior , and encourage . <eos>
L__NOUN_VERB_VERB	4	7	sing	allows	correct	generated	My haven with acting the character merely	0	False	5948	6	7	My haven with acting the character merely involves , could it be accepted that cheaply everyone grabbed the labor would or could assist at any picketing , since we regularly listened Beijing and Metals and if they remembered they might have titled a honest direction ?? <eos>
L__NOUN_VERB_VERB	4	7	sing	allow	wrong	generated	My haven with acting the character merely	0	False	8990	6	7	My haven with acting the character merely involves , could it be accepted that cheaply everyone grabbed the labor would or could assist at any picketing , since we regularly listened Beijing and Metals and if they remembered they might have titled a honest direction ?? <eos>
R__VERB_NOUN_CCONJ_VERB	9	7	plur	tend	correct	generated	I consider this adequate reputation and	0	False	3201	5	6	I consider this adequate reputation and realize to relate this dangerous event . <eos>
R__VERB_NOUN_CCONJ_VERB	9	7	plur	tends	wrong	generated	I consider this adequate reputation and	0	False	1298	5	6	I consider this adequate reputation and realize to relate this dangerous event . <eos>
L__NOUN_VERB_VERB	6	1	plur	extend	correct	generated	I refuse the volumes on which I should cancel your country	1	False	1939	8	11	I refuse the volumes on which I should cancel your country agree : ( a ) Do you donate a frustrating satisfaction about the context to soft surface drugs noticed by Ontario Aires ? <eos>
L__NOUN_VERB_VERB	6	1	plur	extends	wrong	generated	I refuse the volumes on which I should cancel your country	1	False	1375	8	11	I refuse the volumes on which I should cancel your country agree : ( a ) Do you donate a frustrating satisfaction about the context to soft surface drugs noticed by Ontario Aires ? <eos>
R__VERB_NOUN_CCONJ_VERB	12	4	sing	learns	correct	generated	Bring for a heaven of weapons in their virus that reads from the master and	0	False	1051	5	15	Bring for a heaven of weapons in their virus that reads from the master and brings smoothly to the task fo the marketing . <eos>
R__VERB_NOUN_CCONJ_VERB	12	4	sing	learn	wrong	generated	Bring for a heaven of weapons in their virus that reads from the master and	0	False	2911	5	15	Bring for a heaven of weapons in their virus that reads from the master and brings smoothly to the task fo the marketing . <eos>
L__NOUN_VERB_VERB	18	0	sing	is	correct	original	The only notable difference I have noticed	0	False	649202	4	7	The only notable difference I have noticed is that in the south of Ireland one night of the wake is often held in the chapel the night before the funeral , this tradition started after the civil war . <eos>
L__NOUN_VERB_VERB	18	0	sing	are	wrong	original	The only notable difference I have noticed	0	False	261453	4	7	The only notable difference I have noticed is that in the south of Ireland one night of the wake is often held in the chapel the night before the funeral , this tradition started after the civil war . <eos>
L__NOUN_VERB_VERB	12	5	plur	apply	correct	generated	Additional leaders that thereafter would translate	1	False	2730	5	6	Additional leaders that thereafter would translate allow things , property , Jared combo and some lions of guidelines . <eos>
L__NOUN_VERB_VERB	12	5	plur	applies	wrong	generated	Additional leaders that thereafter would translate	1	False	1246	5	6	Additional leaders that thereafter would translate allow things , property , Jared combo and some lions of guidelines . <eos>
L__NOUN_VERB_VERB	0	7	sing	extends	correct	generated	The tide to compete in participant	0	False	1375	5	6	The tide to compete in participant enables that Dwarf Armed sports and Professors and tricky Syrian worries are distinguished to migrate soon seldom joint to the Agra in Ireland than al - Laura allegations , and it would be neat to foresee one 's options off the tolerable disappointment . <eos>
L__NOUN_VERB_VERB	0	7	sing	extend	wrong	generated	The tide to compete in participant	0	False	1939	5	6	The tide to compete in participant enables that Dwarf Armed sports and Professors and tricky Syrian worries are distinguished to migrate soon seldom joint to the Agra in Ireland than al - Laura allegations , and it would be neat to foresee one 's options off the tolerable disappointment . <eos>
L__NOUN_VERB_VERB	20	4	sing	adds	correct	generated	The electronic convenience I chose apparently from them in the first station	0	False	932	10	12	The electronic convenience I chose apparently from them in the first station appears because my functional connection who indicated with them was telling out on his undecided . <eos>
L__NOUN_VERB_VERB	20	4	sing	add	wrong	generated	The electronic convenience I chose apparently from them in the first station	0	False	2283	10	12	The electronic convenience I chose apparently from them in the first station appears because my functional connection who indicated with them was telling out on his undecided . <eos>
L__NOUN_VERB_VERB	13	5	sing	explains	correct	generated	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee"	0	True	1823	5	37	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee indicates whenever you 're crucial indefinitely "" and said snakes to the "" Prophet Scotland "" tension watching that "" basically he belonged Dear policies to wrap neatly preventive as a room "" . <eos>"
L__NOUN_VERB_VERB	13	5	sing	explain	wrong	generated	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee"	0	True	2136	5	37	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee indicates whenever you 're crucial indefinitely "" and said snakes to the "" Prophet Scotland "" tension watching that "" basically he belonged Dear policies to wrap neatly preventive as a room "" . <eos>"
L__NOUN_VERB_VERB	8	9	sing	spends	correct	generated	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her	0	True	506	4	23	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her lets approximately . <eos>
L__NOUN_VERB_VERB	8	9	sing	spend	wrong	generated	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her	0	True	2073	4	23	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her lets approximately . <eos>
L__NOUN_VERB_VERB	5	6	sing	understands	correct	generated	Especially , the impressionist acupuncture designated for embarrassment	0	True	228	4	8	Especially , the impressionist acupuncture designated for embarrassment explains whether our Account ( the ecological application and thus the opportunity they spend to postpone ) is or affects not an essential kindness under the ranch . <eos>
L__NOUN_VERB_VERB	5	6	sing	understand	wrong	generated	Especially , the impressionist acupuncture designated for embarrassment	0	True	2723	4	8	Especially , the impressionist acupuncture designated for embarrassment explains whether our Account ( the ecological application and thus the opportunity they spend to postpone ) is or affects not an essential kindness under the ranch . <eos>
R__VERB_NOUN_CCONJ_VERB	9	4	plur	serve	correct	generated	I refuse this adequate clinic and	0	False	7238	5	6	I refuse this adequate clinic and require to vary this superb income . <eos>
R__VERB_NOUN_CCONJ_VERB	9	4	plur	serves	wrong	generated	I refuse this adequate clinic and	0	False	4701	5	6	I refuse this adequate clinic and require to vary this superb income . <eos>
